asset_description,asset_abbreviation,dbo_entity_type,can_be_connected,ifc_class,ifc_type,ifc_version,IFC2x3,IFC4.3
pressurisation unit - water system makeup unit,WMS,,1,IfcUnitaryEquipment,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcUnitaryEquipmentType.NOTDEFINED,IfcUnitaryEquipmentType.USERDEFINED","IfcUnitaryEquipmentType.NOTDEFINED,IfcUnitaryEquipmentType.USERDEFINED"
pump,PMP,HVAC/PMP,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
pump - automatic condensate pump,CNP,HVAC/PMP,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
pump - auxilliary process cooling water pump,AXCWP,HVAC/PMP,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
pump - booster pump,BSP,HVAC/PMP,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
pump - chilled water pump,CHWP,HVAC/PMP,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
pump - circulating pump,CP,HVAC/PMP,1,IfcPump,CIRCULATOR,"2x3,4x1,4.3",IfcPumpType.CIRCULATOR,IfcPumpType.CIRCULATOR
pump - condenser water pump,CDWP,HVAC/PMP,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
pump - cooling tower separator pump,CTSEPP,HVAC/PMP,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
pump - domestic hot water circulation pump,DHWP,HVAC/PMP,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
pump - dosing pump,DP,HVAC/PMP,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
pump - fire hydrant pump,FHP,HVAC/PMP,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
pump - fuel oil pump,FOP,HVAC/PMP,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
pump - gas booster pump,GBP,HVAC/PMP,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
pump - greywater booster pump,GWBP,HVAC/PMP,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
pump - heat exchanger pump,HXP,HVAC/PMP,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
pump - high temperature chilled water pump,HTCHP,HVAC/PMP,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
pump - high temperature condenser water pump,HTCWP,HVAC/PMP,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
pump - hot water pump,HWP,HVAC/PMP,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
pump - low temperature chilled water pump,LTCHWP,HVAC/PMP,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
pump - low temperature condenser water pump,LTCDWP,HVAC/PMP,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
pump - low temperature hot water pump,LTHWP,HVAC/PMP,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
pump - packaged pump set,PAPS,HVAC/PMP,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
pump - potable/domestic water booster pump,DWBP,HVAC/PMP,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
pump - potable/domestic water transfer pump,DWTP,HVAC/PMP,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
pump - primary chilled water pump,PCHWP,HVAC/PMP,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
pump - primary pump,PP,HVAC/PMP,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
pump - process cooling water pump,PCWP,HVAC/PMP,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
pump - process water pump,PWP,HVAC/PMP,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
pump - rainwater booster pump,RNWBP,HVAC/PMP,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
pump - rainwater pump,RNWP,HVAC/PMP,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
pump - recirculation pump,RCP,HVAC/PMP,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
pump - recycled water pump,RWP,HVAC/PMP,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
pump - secondary chilled water pump,SCHWP,HVAC/PMP,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
pump - secondary heating circulation pump,SHCP,HVAC/PMP,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
pump - secondary hot water circulating pump,SHWP,HVAC/PMP,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
pump - secondary pump,SP,HVAC/PMP,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
pump - separator pump,SEPP,HVAC/PMP,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
pump - sewage ejector pump,SEP,HVAC/PMP,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
pump - sprinkler pump,SPP,HVAC/PMP,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
pump - sump pump,SMPP,HVAC/PMP,1,IfcPump,SUMPPUMP,"4x1,4.3",IfcPumpType.USERDEFINED,IfcPumpType.SUMPPUMP
pump - tower make up pump,TMUP,HVAC/PMP,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
pump - tower make up valve,TMUV,HVAC/PMP,1,IfcValve,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcValveType.NOTDEFINED,IfcValveType.USERDEFINED","IfcValveType.NOTDEFINED,IfcValveType.USERDEFINED"
pump - transfer pump,TRP,HVAC/PMP,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
pump - vacuum pump,VCP,HVAC/PMP,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
pump - waste water pump,WWP,HVAC/PMP,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
pump - wet riser pump,WRP,HVAC/PMP,1,IfcPump,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED","IfcPumpType.NOTDEFINED,IfcPumpType.USERDEFINED"
pv ac disconnect,PVACDS,,0,IfcSwitchingDevice,SWITCHDISCONNECTOR,"2x3,4x1,4.3",IfcSwitchingDeviceType.SWITCHDISCONNECTOR,IfcSwitchingDeviceType.SWITCHDISCONNECTOR
pv data acquisition system,PVDAS,,1,IfcController,NOTDEFINED,"2x3,4x1,4.3",IfcControllerType.USERDEFINED,IfcControllerType.USERDEFINED
pv dc combiner,PVDCC,,0,IfcElectricDistributionBoard,DISTRIBUTIONBOARD,"4x1,4.3",IfcElectricDistributionPoint.DISTRIBUTIONBOARD,IfcElectricDistributionBoardType.DISTRIBUTIONBOARD
pv dc disconnect,PVDCDS,,0,IfcSwitchingDevice,SWITCHDISCONNECTOR,"2x3,4x1,4.3",IfcSwitchingDeviceType.SWITCHDISCONNECTOR,IfcSwitchingDeviceType.SWITCHDISCONNECTOR
pv distribution board,PVDB,,1,IfcElectricDistributionBoard,DISTRIBUTIONBOARD,"4x1,4.3",IfcElectricDistributionPoint.DISTRIBUTIONBOARD,IfcElectricDistributionBoardType.DISTRIBUTIONBOARD
pv inverter,PVI,,1,IfcTransformer,INVERTER,"4x1,4.3",IfcTransformerType.INVERTER,IfcTransformerType.INVERTER
pv microgrid controller,PVMC,,1,IfcController,NOTDEFINED,"2x3,4x1,4.3",IfcControllerType.USERDEFINED,IfcControllerType.USERDEFINED
pv module-level power electronics,PVMLPE,,0,IfcController,NOTDEFINED,"2x3,4x1,4.3",IfcControllerType.USERDEFINED,IfcControllerType.USERDEFINED
pv panel,PVP,,1,IfcSolarDevice,SOLARPANEL,"4x1,4.3",IfcDiscreteAccessoryType.USERDEFINED,IfcSolarDeviceType.SOLARPANEL
pv transformer,PVTXMR,,1,IfcTransformer,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcTransformerType.NOTDEFINED,IfcTransformerType.USERDEFINED","IfcTransformerType.NOTDEFINED,IfcTransformerType.USERDEFINED"
radiant surface - chilled beam,CHB,,0,IfcCooledBeam,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcCooledBeamType.NOTDEFINED,IfcCooledBeamType.USERDEFINED","IfcCooledBeamType.NOTDEFINED,IfcCooledBeamType.USERDEFINED"
radiant surface - hot water beam,HTB,,0,IfcSpaceHeater,RADIATOR,"4x1,4.3","IfcSpaceHeaterType.USERDEFINED,IfcSpaceHeaterType.NOTDEFINED",IfcSpaceHeaterType.RADIATOR
refrigeration - blast chiller/freezer,FRZBCF,,0,IfcElectricAppliance,FREEZER,"2x3,4x1,4.3",IfcElectricApplianceType.FREEZER,IfcElectricApplianceType.FREEZER
refrigeration - coldroom freezer,CRFRZ,,0,IfcElectricAppliance,FREEZER,"2x3,4x1,4.3",IfcElectricApplianceType.FREEZER,IfcElectricApplianceType.FREEZER
refrigeration - coldroom hardware/plant,CRHW,,0,IfcElectricAppliance,REFRIGERATOR,"2x3,4x1,4.3",IfcElectricApplianceType.REFRIGERATOR,IfcElectricApplianceType.REFRIGERATOR
refrigeration - coldroom refrigerated,CRREF,,0,IfcElectricAppliance,REFRIGERATOR,"2x3,4x1,4.3",IfcElectricApplianceType.REFRIGERATOR,IfcElectricApplianceType.REFRIGERATOR
refrigeration - freezer,FRZ,,0,IfcElectricAppliance,FREEZER,"2x3,4x1,4.3",IfcElectricApplianceType.FREEZER,IfcElectricApplianceType.FREEZER
refrigeration - ice cream chest freezer,FRZICC,,0,IfcElectricAppliance,FREEZER,"2x3,4x1,4.3",IfcElectricApplianceType.FREEZER,IfcElectricApplianceType.FREEZER
refrigeration - ice maker,IM,,0,IfcElectricAppliance,NOTDEFINED,"2x3,4x1,4.3",IfcElectricApplianceType.USERDEFINED,IfcElectricApplianceType.USERDEFINED
refrigeration - refrigerator,REF,,0,IfcElectricAppliance,REFRIGERATOR,"2x3,4x1,4.3",IfcElectricApplianceType.REFRIGERATOR,IfcElectricApplianceType.REFRIGERATOR
refrigeration - retarder/proover,REFRP,,0,IfcElectricAppliance,REFRIGERATOR,"2x3,4x1,4.3",IfcElectricApplianceType.REFRIGERATOR,IfcElectricApplianceType.REFRIGERATOR
sand oil interceptor,SOI,,0,IfcInterceptor,OIL,"4x1,4.3",IfcWasteTerminalType.OILINTERCEPTOR,IfcInterceptorType.OIL
sand separator,SSP,,0,IfcInterceptor,NOTDEFINED,"4x1,4.3",IfcWasteTerminalType.USERDEFINED,IfcInterceptorType.USERDEFINED
sanitary terminal - hand wash basin,HWB,,0,IfcSanitaryTerminal,WASHHANDBASIN,"2x3,4x1,4.3",IfcSanitaryTerminalType.WASHHANDBASIN,IfcSanitaryTerminalType.WASHHANDBASIN
sensor - CO sensor,COS,SENSOR,1,IfcSensor,COSENSOR,"4x1,4.3",IfcSensorType.CO2SENSOR,IfcSensorType.COSENSOR
sensor - CO2 sensor,CDS,SENSOR,1,IfcSensor,CO2SENSOR,"2x3,4x1,4.3",IfcSensorType.CO2SENSOR,IfcSensorType.CO2SENSOR
sensor - condensation water sensor,CS,SENSOR,1,IfcSensor,TEMPERATURESENSOR,"2x3,4x1,4.3",IfcSensorType.TEMPERATURESENSOR,IfcSensorType.TEMPERATURESENSOR
sensor - contact sensor,CNTS,SENSOR,1,IfcSensor,CONTACTSENSOR,"4x1,4.3",IfcSensorType.USERDEFINED,IfcSensorType.CONTACTSENSOR
sensor - differential pressure sensor,DPS,SENSOR,1,IfcSensor,PRESSURESENSOR,"2x3,4x1,4.3",IfcSensorType.PRESSURESENSOR,IfcSensorType.PRESSURESENSOR
sensor - glycol protector sensor,GLYPR,SENSOR,1,IfcSensor,NOTDEFINED,"2x3,4x1,4.3",IfcSensorType.USERDEFINED,IfcSensorType.USERDEFINED
sensor - humidity sensor,HMS,SENSOR,1,IfcSensor,HUMIDITYSENSOR,"2x3,4x1,4.3",IfcSensorType.HUMIDITYSENSOR,IfcSensorType.HUMIDITYSENSOR
sensor - humidity sensor - outside,OHMS,SENSOR,1,IfcSensor,HUMIDITYSENSOR,"2x3,4x1,4.3",IfcSensorType.HUMIDITYSENSOR,IfcSensorType.HUMIDITYSENSOR
sensor - inertial measurement unit sensor,IMUS,SENSOR,1,IfcSensor,NOTDEFINED,"2x3,4x1,4.3",IfcSensorType.USERDEFINED,IfcSensorType.USERDEFINED
sensor - leak detection sensor,LDS,SENSOR,1,IfcSensor,NOTDEFINED,"2x3,4x1,4.3",IfcSensorType.USERDEFINED,IfcSensorType.USERDEFINED
sensor - level sensor,LVLS,SENSOR,1,IfcSensor,NOTDEFINED,"2x3,4x1,4.3",IfcSensorType.USERDEFINED,IfcSensorType.USERDEFINED
sensor - lighting motion sensor,LMS,SENSOR,1,IfcSensor,MOVEMENTSENSOR,"2x3,4x1,4.3",IfcSensorType.MOVEMENTSENSOR,IfcSensorType.MOVEMENTSENSOR
sensor - lighting multisensor,LTMTS,SENSOR,1,IfcSensor,NOTDEFINED,"2x3,4x1,4.3",IfcSensorType.USERDEFINED,IfcSensorType.USERDEFINED
sensor - lighting photocell sensor,LPS,SENSOR,1,IfcSensor,LIGHTSENSOR,"2x3,4x1,4.3",IfcSensorType.LIGHTSENSOR,IfcSensorType.LIGHTSENSOR
sensor - moisture content sensor,MCS,SENSOR,1,IfcSensor,NOTDEFINED,"2x3,4x1,4.3",IfcSensorType.USERDEFINED,IfcSensorType.USERDEFINED
sensor - motion sensor,MOS,SENSOR,1,IfcSensor,MOVEMENTSENSOR,"2x3,4x1,4.3",IfcSensorType.MOVEMENTSENSOR,IfcSensorType.MOVEMENTSENSOR
sensor - multi sensor,MTS,SENSOR,1,IfcSensor,NOT DEFINED,"2x3,4x1,4.3",IfcSensorType.USERDEFINED,IfcSensorType.USERDEFINED
sensor - nitrogen dioxide sensor,NDS,SENSOR,1,IfcSensor,NOTDEFINED,"2x3,4x1,4.3",IfcSensorType.USERDEFINED,IfcSensorType.USERDEFINED
sensor - particulate matter sensor,PMS,SENSOR,1,IfcSensor,NOTDEFINED,"2x3,4x1,4.3",IfcSensorType.USERDEFINED,IfcSensorType.USERDEFINED
sensor - people counting sensor,PCS,SENSOR,1,IfcSensor,NOTDEFINED,"2x3,4x1,4.3",IfcSensorType.USERDEFINED,IfcSensorType.USERDEFINED
sensor - pressure sensor,PS,SENSOR,1,IfcSensor,PRESSURESENSOR,"2x3,4x1,4.3",IfcSensorType.PRESSURESENSOR,IfcSensorType.PRESSURESENSOR
sensor - seismic sensor,SSS,SENSOR,1,IfcSensor,NOTDEFINED,"2x3,4x1,4.3",IfcSensorType.USERDEFINED,IfcSensorType.USERDEFINED
sensor - sound level sensor,SLS,SENSOR,1,IfcSensor,SOUNDSENSOR,"2x3,4x1,4.3",IfcSensorType.SOUNDSENSOR,IfcSensorType.SOUNDSENSOR
sensor - static pressure sensor,SPS,SENSOR,1,IfcSensor,PRESSURESENSOR,"2x3,4x1,4.3",IfcSensorType.PRESSURESENSOR,IfcSensorType.PRESSURESENSOR
sensor - temperature sensor,TPS,SENSOR,1,IfcSensor,TEMPERATURESENSOR,"2x3,4x1,4.3",IfcSensorType.TEMPERATURESENSOR,IfcSensorType.TEMPERATURESENSOR
sensor - temperature sensor - outside,OTPS,SENSOR,1,IfcSensor,TEMPERATURESENSOR,"2x3,4x1,4.3",IfcSensorType.TEMPERATURESENSOR,IfcSensorType.TEMPERATURESENSOR
sensor - thermostat,TSTAT,,1,IfcUnitaryControlElement,THERMOSTAT,"4x1,4.3",IfcControllerType.USERDEFINED,IfcUnitaryControlElementType.THERMOSTAT
sensor - velocity sensor,VS,SENSOR,1,IfcSensor,NOTDEFINED,"2x3,4x1,4.3",IfcSensorType.USERDEFINED,IfcSensorType.USERDEFINED
sensor - volumetric flow sensor - air,AVFS,SENSOR,1,IfcSensor,FLOWSENSOR,"2x3,4x1,4.3",IfcSensorType.FLOWSENSOR,IfcSensorType.FLOWSENSOR
sensor - volumetric flow sensor - water,WVFS,SENSOR,1,IfcSensor,FLOWSENSOR,"2x3,4x1,4.3",IfcSensorType.FLOWSENSOR,IfcSensorType.FLOWSENSOR
sensor - wind sensor,WS,SENSOR,1,IfcSensor,WINDSENSOR,"4x1,4.3",IfcSensorType.USERDEFINED,IfcSensorType.WINDSENSOR
shading - shading device actuator,SDACT,HVAC/SDC,1,IfcActuator,ELECTRICACTUATOR,"2x3,4x1,4.3",IfcActuatorType.ELECTRICACTUATOR,IfcActuatorType.ELECTRICACTUATOR
shading - shading device blinds,BL,,0,IfcShadingDevice,NOTDEFINED,"4x1,4.3",IfcDiscreteAccessoryType.USERDEFINED,IfcShadingDeviceType.USERDEFINED
shading - shading device controller,SDC,,1,IfcController,NOTDEFINED,"2x3,4x1,4.3",IfcControllerType.USERDEFINED,IfcControllerType.USERDEFINED
shading - shading device keypad,SDKP,,1,IfcSwitchingDevice,KEYPAD,"4x1,4.3",IfcSwitchingDeviceType.USERDEFINED,IfcSwitchingDeviceType.KEYPAD
shading - shading device motor,SDM,,0,IfcElectricMotor,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcElectricMotorType.USERDEFINED,IfcElectricMotorType.NOTDEFINED","IfcElectricMotorType.USERDEFINED,IfcElectricMotorType.NOTDEFINED"
shading - shading device solar tracking module,SDSTM,,1,IfcSensor,RADIATIONSENSOR,"4x1,4.3",IfcSensorType.USERDEFINED,IfcSensorType.RADIATIONSENSOR
signal - beacon,BCN,,1,ifcAlarm,LIGHT,"2x3,4x1,4.3",IfcAlarmType.LIGHT,IfcAlarmType.LIGHT
switch - absolute pressure,APSW,,1,IfcSwitchingDevice,PRESSURESENSOR,"2x3,4x1,4.3",IfcSensorType.PRESSURESENSOR,IfcSensorType.PRESSURESENSOR
switch - dew point,DEWSW,,1,IfcSwitchingDevice,HUMIDISTAT,"4x1,4.3",IfcElectricDistributionPoint.USERDEFINED,IfcUnitaryControlElementType.HUMIDISTAT
switch - differential pressure,DPSW,,1,IfcSwitchingDevice,PRESSURESENSOR,"2x3,4x1,4.3",IfcSensorType.PRESSURESENSOR,IfcSensorType.PRESSURESENSOR
switch - static pressure,SPSW,,1,IfcSwitchingDevice,PRESSURESENSOR,"2x3,4x1,4.3",IfcSensorType.PRESSURESENSOR,IfcSensorType.PRESSURESENSOR
switch - thermal dispersion flow proving switch,TDSW,,1,IfcSwitchingDevice,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcSwitchingDeviceType.NOTDEFINED,IfcSwitchingDeviceType.USERDEFINED","IfcSwitchingDeviceType.NOTDEFINED,IfcSwitchingDeviceType.USERDEFINED"
tank - break tank,BTK,,1,IfcTank,BREAKPRESSURE,"4x1,4.3",IfcTankType.USERDEFINED,IfcTankType.BREAKPRESSURE
tank - break tank and booster set,BTKBS,,1,IfcTank,BREAKPRESSURE,"4x1,4.3",IfcTankType.USERDEFINED,IfcTankType.BREAKPRESSURE
tank - brine tank,BRITK,,0,IfcTank,VESSEL,"4x1,4.3",IfcTankType.USERDEFINED,IfcTankType.VESSEL
tank - buffer vessel - cooling,CBUFF,,0,IfcTank,VESSEL,"4x1,4.3",IfcTankType.USERDEFINED,IfcTankType.VESSEL
tank - buffer vessel - generic,BUFF,,0,IfcTank,VESSEL,"4x1,4.3",IfcTankType.USERDEFINED,IfcTankType.VESSEL
tank - buffer vessel - heating,HBUFF,,0,IfcTank,VESSEL,"4x1,4.3",IfcTankType.USERDEFINED,IfcTankType.VESSEL
tank - compressed air storage tank,CAST,,0,ifcTank,STORAGE,"4x1,4.3",IfcTankType.USERDEFINED,IfcTankType.STORAGE
tank - condensate receiver tank,CNR,,0,ifcTank,STORAGE,"4x1,4.3",IfcTankType.USERDEFINED,IfcTankType.STORAGE
tank - deareator tank,DEA,,0,IfcTank,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcTankType.NOTDEFINED,IfcTankType.USERDEFINED","IfcTankType.NOTDEFINED,IfcTankType.USERDEFINED"
tank - decontamination tank,DET,,0,IfcTank,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcTankType.NOTDEFINED,IfcTankType.USERDEFINED","IfcTankType.NOTDEFINED,IfcTankType.USERDEFINED"
tank - emergency sewer tank,EST,,0,IfcTank,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcTankType.NOTDEFINED,IfcTankType.USERDEFINED","IfcTankType.NOTDEFINED,IfcTankType.USERDEFINED"
tank - emergency water tank,EWT,,0,IfcTank,STORAGE,"4x1,4.3",IfcTankType.USERDEFINED,IfcTankType.STORAGE
tank - expansion tank,ET,,0,IfcTank,EXPANSION,"2x3,4x1,4.3",IfcTankType.EXPANSION,IfcTankType.EXPANSION
tank - fire hydrant tank,FHT,,0,IfcTank,STORAGE,"4x1,4.3",IfcTankType.USERDEFINED,IfcTankType.STORAGE
tank - fuel oil day tank,FODT,,0,IfcTank,NOTDEFINED,"2x3,4x1,4.3,2x3,4x1,4.3","IfcTankType.NOTDEFINED,IfcTankType.USERDEFINED","IfcTankType.NOTDEFINED,IfcTankType.USERDEFINED"
tank - fuel oil storage tank,FOST,,0,IfcTank,STORAGE,"4x1,4.3",IfcTankType.USERDEFINED,IfcTankType.STORAGE
tank - greywater storage tank,GWST,,0,IfcTank,STORAGE,"4x1,4.3",IfcTankType.USERDEFINED,IfcTankType.STORAGE
